time_ns,device,sensor,x,y,z,extra
1774665763282198800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7618566490800283, ""qx"": -0.30807543680618227, ""qz"": 0.3882561968196832, ""roll"": -0.27104124684324316, ""qw"": -0.8294258447790852, ""qy"": 0.2576809161813891, ""pitch"": 0.7911239121143051}"
1774665763292181800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7587898732646374, ""qx"": -0.30838383447186685, ""qz"": 0.3869498564848758, ""roll"": -0.2707948098542457, ""qw"": -0.8301137505032963, ""qy"": 0.257061130060941, ""pitch"": 0.7908152662672653}"
1774665763302165800,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7556285033324803, ""qx"": -0.30867468242680784, ""qz"": 0.38560805760752936, ""roll"": -0.27057653888717703, ""qw"": -0.8308248011513444, ""qy"": 0.2564304128427636, ""pitch"": 0.7904535524504666}"
1774665763312148500,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7523914433531972, ""qx"": -0.3089411045022178, ""qz"": 0.38423871731294135, ""roll"": -0.27038693622114424, ""qw"": -0.8315571204238076, ""qy"": 0.2557905595676497, ""pitch"": 0.7900289145608911}"
1774665763322131700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7491025807257315, ""qx"": -0.3091651860851629, ""qz"": 0.3828503847698063, ""roll"": -0.27021485840718557, ""qw"": -0.8323152041454847, ""qy"": 0.2551351771845249, ""pitch"": 0.7895024289547556}"
1774665763332114700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7457166718843367, ""qx"": -0.3093367575988234, ""qz"": 0.3814330374785505, ""roll"": -0.27011745688277644, ""qw"": -0.8331025247658124, ""qy"": 0.25447967771839797, ""pitch"": 0.7888627716739302}"
1774665763342097700,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7422126111209592, ""qx"": -0.30949233837869466, ""qz"": 0.3799658742851389, ""roll"": -0.2700219474515355, ""qw"": -0.8339229894332245, ""qy"": 0.2537972602426957, ""pitch"": 0.7881559619117667}"
1774665763352080600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.738532099799899, ""qx"": -0.3096499570429305, ""qz"": 0.37842640153318163, ""roll"": -0.2699433258370508, ""qw"": -0.8347789623466875, ""qy"": 0.25308978099489554, ""pitch"": 0.7874132837845089}"
1774665763362063600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.7347218039306727, ""qx"": -0.3098321111748881, ""qz"": 0.376825738057923, ""roll"": -0.26983275722097383, ""qw"": -0.8356588574727923, ""qy"": 0.2523502425655364, ""pitch"": 0.786679197828212}"
1774665763372047600,3c7cd7bc-6a31-4d86-8896-31a0eec5eb06,orientation,,,,"{""yaw"": -0.730723704042835, ""qx"": -0.31007755666439524, ""qz"": 0.37513668855107185, ""roll"": -0.26967639165285756, ""qw"": -0.8365615678320697, ""qy"": 0.25157308973703113, ""pitch"": 0.7860202493481273}"
